epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.001,0.60348,2.33634,1.01352,0.00337,1,0.48326,0.39831,0.65039,3.67278,1.10621,0.0004287,0.0004287,0.0004287
2,311.693,0.56363,1.60286,0.98817,0.60301,0.60996,0.65199,0.59609,0.42233,2.86741,0.89262,0.000854431,0.000854431,0.000854431
3,466.418,0.58179,1.5604,1.00448,0.55949,0.41616,0.2811,0.14022,1.1437,3.48875,1.41179,0.00126262,0.00126262,0.00126262
4,615.449,0.62282,1.41246,1.002,0.6089,0.93007,0.81886,0.6758,0.5639,1.73187,0.98074,0.00134412,0.00134412,0.00134412
5,760.831,0.58796,1.31992,0.9997,0.75534,0.72961,0.84328,0.77898,0.38835,1.73439,0.84613,0.00131582,0.00131582,0.00131582
6,910.164,0.55491,1.11794,0.98233,0.662,0.65029,0.53706,0.46496,0.4901,2.05025,0.91831,0.00128753,0.00128753,0.00128753
7,1059.93,0.54146,1.1203,0.99781,0.69544,0.7278,0.75122,0.68889,0.33696,1.45371,0.83909,0.00125923,0.00125923,0.00125923
8,1217.43,0.55109,1.04198,1.0015,0.8559,0.88517,0.91694,0.87077,0.33821,0.85246,0.83261,0.00123094,0.00123094,0.00123094
9,1378.84,0.51098,0.99557,0.97501,0.87562,0.77795,0.92012,0.86367,0.34597,1.04849,0.84444,0.00120265,0.00120265,0.00120265
10,1539.45,0.5111,0.94644,0.98515,0.86629,0.89298,0.89833,0.86699,0.27928,0.7408,0.81545,0.00117435,0.00117435,0.00117435
11,1699.75,0.48271,0.91883,0.96571,0.79395,0.78746,0.88705,0.84936,0.31739,0.87761,0.83315,0.00114606,0.00114606,0.00114606
12,1858.9,0.50958,0.89719,0.99666,0.84207,0.80337,0.94476,0.89282,0.35998,0.75668,0.83589,0.00111776,0.00111776,0.00111776
13,2376.22,0.49917,0.84884,0.95826,0.90385,0.8763,0.95654,0.91157,0.32566,0.70761,0.84045,0.00108947,0.00108947,0.00108947
14,2520.24,0.46284,0.75589,0.96032,0.77729,0.94564,0.94384,0.89645,0.31811,0.61556,0.83326,0.00106118,0.00106118,0.00106118
15,2676.85,0.45118,0.75534,0.94928,0.70786,0.76876,0.86279,0.82416,0.30015,0.94548,0.82598,0.00103288,0.00103288,0.00103288
16,2831.91,0.44891,0.72763,0.95266,0.84884,0.93452,0.94552,0.92643,0.25087,0.55169,0.80426,0.00100459,0.00100459,0.00100459
17,2983.68,0.42657,0.73064,0.9384,0.84947,0.95163,0.97371,0.95266,0.25484,0.71906,0.81045,0.000976293,0.000976293,0.000976293
18,3218.16,0.43966,0.73818,0.94986,0.95918,0.89352,0.97688,0.95004,0.24663,0.47949,0.80967,0.000947999,0.000947999,0.000947999
19,3368.4,0.4404,0.68199,0.95751,0.91649,0.92733,0.97224,0.93712,0.2994,0.52675,0.81522,0.000919704,0.000919704,0.000919704
20,3728.1,0.43217,0.63245,0.94251,0.91176,0.93938,0.96207,0.93942,0.2643,0.47182,0.81571,0.00089141,0.00089141,0.00089141
21,3884.58,0.40599,0.63268,0.92523,0.91551,0.89457,0.96388,0.93588,0.24624,0.43776,0.82748,0.000863116,0.000863116,0.000863116
22,4042.36,0.43662,0.6619,0.94835,0.83708,0.93898,0.96617,0.94877,0.22506,0.50172,0.79482,0.000834822,0.000834822,0.000834822
23,4204.53,0.3869,0.60302,0.91655,0.90885,0.95412,0.97154,0.95207,0.21357,0.39253,0.79808,0.000806528,0.000806528,0.000806528
24,4346.49,0.4232,0.59598,0.96597,0.95199,0.92828,0.97725,0.94833,0.24033,0.40617,0.81456,0.000778233,0.000778233,0.000778233
25,5037.66,0.40914,0.62606,0.93698,0.92162,0.94194,0.97613,0.95882,0.19493,0.37126,0.79793,0.000749939,0.000749939,0.000749939
26,5200.13,0.36884,0.58347,0.9201,0.93155,0.95962,0.98742,0.97061,0.20755,0.3768,0.80351,0.000721645,0.000721645,0.000721645
27,5365.26,0.37909,0.55548,0.93042,0.91693,0.89317,0.95838,0.94593,0.17769,0.43649,0.78883,0.000693351,0.000693351,0.000693351
28,5532.26,0.39553,0.55773,0.93447,0.94522,0.96928,0.98591,0.97337,0.21192,0.38234,0.79442,0.000665057,0.000665057,0.000665057
29,5686.7,0.39282,0.57465,0.93874,0.913,0.9663,0.97616,0.95401,0.20627,0.37523,0.79553,0.000636762,0.000636762,0.000636762
30,5845.16,0.38239,0.55813,0.92511,0.88846,0.94725,0.96178,0.95015,0.18746,0.38408,0.78771,0.000608468,0.000608468,0.000608468
31,6005.45,0.37412,0.54373,0.94508,0.93844,0.92171,0.9735,0.95892,0.18572,0.38436,0.78883,0.000580174,0.000580174,0.000580174
32,6159.3,0.34884,0.53729,0.90809,0.90426,0.91702,0.96247,0.94426,0.18572,0.41163,0.7919,0.00055188,0.00055188,0.00055188
33,9221.57,0.38547,0.55776,0.93575,0.88915,0.97,0.97203,0.95715,0.18811,0.34806,0.78607,0.000523586,0.000523586,0.000523586
34,9372.04,0.34496,0.53258,0.92471,0.95266,0.9728,0.98347,0.97013,0.18582,0.30575,0.78972,0.000495291,0.000495291,0.000495291
35,9523.32,0.34726,0.49905,0.92034,0.91982,0.95859,0.98227,0.97268,0.19328,0.31264,0.7903,0.000466997,0.000466997,0.000466997
36,9674.75,0.35717,0.49645,0.93013,0.94367,0.9445,0.98324,0.97353,0.15999,0.33236,0.78194,0.000438703,0.000438703,0.000438703
37,10744.8,0.33675,0.48102,0.91499,0.94343,0.92828,0.98191,0.97097,0.16228,0.3581,0.78379,0.000410409,0.000410409,0.000410409
38,10884.7,0.33914,0.44757,0.92294,0.95617,0.97105,0.98521,0.97206,0.17327,0.30145,0.79182,0.000382115,0.000382115,0.000382115
39,11095.8,0.34017,0.50457,0.92517,0.93104,0.92891,0.98016,0.97051,0.16566,0.34655,0.7825,0.00035382,0.00035382,0.00035382
